modeling_row_id,semantic_group_id,priority,priority_encoded
22419,6e4a779e695eba195460d575511a426ca8a1e150,low,0
22503,bafc16c3c275756a20bccb37c1949e518d2bf696,low,0
22575,ef98904e8f42b53d080f7b0f37af06ea173abaaa,low,0
23091,f568a3b68d086a6ab79a650c8163fd6f238d9af0,low,0
23157,467a0cfa24705262cfe60e961a3ba5f41d93003b,low,0
23254,091da490bcf050224c866f577d09a3b2f0f119c9,low,0
24311,7d284d48976b94d5de60e690d128cd58ddc7130f,low,0
24979,0c7d733197f064893f5f563612e41729c179b9b2,low,0
25345,0f707bde12d618e3e5f19576a6aa362c5840791a,low,0
27518,add8db49cf125520ce82ca73b60624e86e373d90,low,0
28299,e73921403d31bf0a099b40fc90fd8bcd773b5eb9,low,0
433,e38c9893cc83769b1a0054d4e28836c199c12499,medium,1
755,3453e727bc474a277ec0f63ec0df23101aab53f0,medium,1
902,d3de918af87b297de2f2bb8e6bb8696a671f9b82,medium,1
1896,0660c387e1ad3b29c409fdba5b7d1aae7a1367be,medium,1
2242,93527be1394ddb1067fdfa5343dfa57247fab17f,medium,1
2734,30735f43a3cc5c59bd1506d5c610a33877a6ea7f,medium,1
4000,bec1388ace7189f4c4c89ae6a7e4668291ff379e,medium,1
4682,93b4d777d3a8a7c9c0b77bd3b58fffa532b92bb3,medium,1
5862,fb69870fbc78c82a52c229b2cc1f5458313e5363,medium,1
7107,36c6e3d7b4b62157bab91139e42227b3f09bf56e,medium,1
10149,d886348eb1ba2e72495fcd956fef149671358aed,medium,1
10492,2ea47169ab8886e9723f6938e8500040fc082235,medium,1
14221,7962847902b7ad9ff5a60ae3d995f4eb5e765ddb,medium,1
14426,07979fc7562462b2095902b1ccf7ec0194d39293,medium,1
16398,ae80324a7c8cb3a4bdaf1b452e4aacdb1f1f450e,medium,1
16926,578f4f7c219637b6205884bc114161a6043a6db6,medium,1
17043,b33f2430b60839e6a36ed4121d83a3898fc2f52f,medium,1
18480,3f1e52c7a2a7987575e65f5de02ccd0edcc58795,medium,1
20027,ab8c9c5937c7b156b8e8572df452375a47eee357,medium,1
20426,f301da8bc4ccec55cba24142fefd9efaf7dce140,medium,1
21697,c2157765521b70b91cc3a96a4017c0e5021cf6c7,medium,1
22593,9b400ae77419d733a9e76f9f06e752b740d3d08c,medium,1
23936,d580707978b797e1e815148e9407c9a2240269c5,medium,1
23983,40fd7e774e8a2e4c59ee1c232c47d64813f8c3b5,medium,1
24089,bba80edb02808f34845d61215105aea905469cad,medium,1
24620,8074cfb09eb203f9407f454192983be8132355a8,medium,1
24741,0b11281ffca56cc268a13e498a47b4296732b5e0,medium,1
25204,4c508c75db1fc837ff588b0c539f23ba750b1965,medium,1
25955,64e2ac8fb8139a655adcb08da775d5382481acea,medium,1
26234,ad1dff9dde1c0eb2a4333fe04363457268c95e8c,medium,1
